name,location,latitude,longitude
Ariya Cafe,boudha,27.7160322,85.3368761
Aroma Cafe,jamal,27.7088767,85.3148628
Atithi Multicuisine Restaurant,tokha,27.7459987,85.3236533
Atrium,jhamsikhel,27.6759602,85.3132197
Attic,gyaneshwor,27.7092059,85.3323841
Avocado Cafe,thirbum sadak| baluwatar| kathmandu,27.7229794,85.3310755
Avocado Cafe Thamel,bhagwanbahal thamel,27.7167835,85.3114886
B For Biryani,durbarmarg,27.7095986,85.3170607
Bagaicha,naxal,27.7203689,85.3315526
Bajeko Sekuwa,anamnagar| kathmandu,27.6975488,85.3285567
Bajeko Sekuwa,battisputali| kathmandu,27.7041645,85.3417737
Bajeko Sekuwa,budanilkantha,27.7717018,85.358506
Bajeko Sekuwa,gairidhara,27.7173709,85.3288818
Bajeko Sekuwa,sorhakhutte,27.7195729,85.3092004
Bajeko Sekuwa,sukedhara| kathmandu,27.7253044,85.3452489
Bajeko Sekuwa,bafal,27.7028747,85.2825013
Bajeko Sekuwa,jorpati,27.7213623,85.3718883
Bakes N Cakes,golfutar,27.7483523,85.3481733
Baking Flower,kharibot| kumarigal,27.7145404,85.3558257
Barrfi Sweets,baluwatar,27.7294414,85.3307795
Barrfi Sweets,khichapokhari | new road,27.7025354,85.3109983
Barrfi Sweets,kumaripati,27.6710856,85.3197312
Basil Cafe & Lounge,bg mall| gongabu,28.397455,84.1301506
Baskin Robbins,bhaisepati,27.6542217,85.3056243
Baskin Robbins Lazimpat,uttardhoka lazimpat,27.7192724,85.319269
Baskin Robbins Lounge,labim mall,27.6861772,85.3151004
Batuki Momo & Laphing Centre,jalpa chowk| baniyatar,27.7476784,85.3214586
Batuki Momo & Laphing Centre Dhapasi,dhapasi - 6 | greenland,27.7476612,85.3248109
Batuli Momo,baluwatar,27.718664,85.3341583
Bawarchi (Rolls & Biryani),babarmahal,27.6945703,85.3225688
Bawarchi Revisited,babarmahal| kathmandu,,
Bays,new baneswor,27.6941263,85.3365776
Beans And Barrels,tokha,27.7450886,85.3167153
Beans For Life,golfutar kathmandu,27.748061,85.3475941
Beer & Nuts,basantapur,27.7032583,85.3057248
Begining Restro,kapan| rudramati chowk,27.7119165,85.34716
Belgian Waffles,durbarmarg| kathmandu,27.6940439,85.3112866
Belgian Waffles,jhamsikhel,27.6777307,85.3097507
Bella Luna,mandal street| thamel,27.7154577,85.3105994
Bev Lounge By Indreni Suite Hotel,new baneshwor,27.6887567,85.3321088
Bfc : Bites Fried Chicken,kumaripati| lalitpur,27.6699489,85.3211838
Bhanjyang,tokha| dhapasi,27.782954,85.3255817
Bhetghat Cafe,tripureshwor bluebird mall,27.7074524,85.3353314
Bhetghat Restaurant,hanumanthan anamnagar| kathmandu,27.6940426,85.3278272
Bhetghat Restaurant,gairidhara,,
Bhojan Griha,dillibazar,27.7064375,85.3254375
Bhumi Restaurant & Bar,lazimpat,27.7243294,85.3228025
Bibek Curry House,j.p marga|thamel,27.7115487,85.3089439
Big Bake,baluwatar,27.7218608,85.3312609
Big Boy Breakfast,dhumbarahi,27.7270192,85.337078
Bigb Real Hamburger,thamel| kathmandu,27.713457,85.3086248
Biko Thakali Restaurant And Bar,airport sinamangal,27.7065196,85.3424809
Biryani Adda & Tandoor,baluwatar,27.7256001,85.3308297
Biryani Adda & Tandoor,kumaripati,27.6703228,85.3202538
Biryani Adda & Tandoor,new baneshwor,27.6984392,85.3585535
Biryani Angan,battisputali,27.7052737,85.3432209
Biryani Junction,new baneshwor,27.7062868,85.3271527
Biryani King,boudha,27.7204172,85.3601164
Bisauni Sekuwa Ghar And Cafe,boudha tinchuli,27.7274527,85.3696523
Bliss Balls,bachapokhari| naxal,27.7140639,85.3271802
Bodhi Books And Bakes,tangal marg,27.7163578,85.3304936
Born And Brta Moead,lazimpat,27.7218954,85.3208249
Bo:Mo Twakka Cha!,kamal pokhari| kathmandu,27.7046879,85.3289996
Bottle House,mid baneshwor,27.6970749,85.3379209
Bowl House,balkumari,27.6800053,85.324736
Bricks Cafe Firewood Pizza,kupondole| lalitpur,27.6855447,85.3176986
Bro Bakery,basundhara,27.7370143,85.3228852
Bro Bakery,sanepa,27.6824764,85.3061801
Bro Bakery,thamel,27.7150511,85.3104011
Bro Bakery,chandol,27.730878,85.3402569
Bro Bakery Labim Mall,patan,27.7004446,85.3232142
Bucket Biryani,buddhanagar,27.687525,85.3267354
Buingal Lounge & Bar,maitidevi| kathmandu,27.7046033,85.3326825
Bun Fun Burger,new baneswor,27.6911054,85.3243693
Bungalow Bar & Kitchen,bhatbhateni,27.7187889,85.3321491
Burger Factory,baluwatar,27.7072017,85.3516601
Burger House & Crunchy Fried Chicken,boudha,27.710658,85.3241613
Burger House And Crunchy Fried Chicken,pepsicola,27.6910082,85.3653895
Burger House And Crunchy Fried Chicken,koteshwor,27.6926911,85.3259775
Burger Shack,jawalakhel| lalitpur,27.6723818,85.3138803
Burger Shack,kamaladi,27.7101603,85.3199674
Busy Bee Cafe,thamel,27.7096804,85.3101695
Cafe And Cucina,pulchowk,27.6783529,85.3131074
Cafe Arica,baluwatar chowk,27.7242227,85.3312971
Cafe By Nepal Coffee Company,durbarg marg,27.7094859,85.3147794
Cafe De Olla,jhamsilkhel,27.6930545,85.314778
Cafe De Patan,patan darbar square| lalitpur,27.673006,85.3240745
Cafe De Tukche,nursery marg| lazimpat,27.7203377,85.3188372
Cafe De Tukche,mahankal,27.7270805,85.3567827
Cafe Deja Vu,narayan chaur,27.7004194,85.3238059
Cafe Imago,nag pokhari road,27.716172,85.3247223
Cafe Jamghat,samakhusi 26| townplanning,27.7333316,85.3171247
Cafe Lava,lazimpat,27.7271661,85.3237966
Cafe Mitra,thamel| kathmandu,27.7127149,85.3113838
Cafe O2 Pizza Place,durbar marg way to yak and yeti hotel,27.7113241,85.3192607
Cafe Soma,baluwatar,27.727644,85.3305889
Cafe Soma,jhamsikhel,27.6824497,85.3103975
Caffeophilia,bhaisepati,27.6541689,85.304243
Caffeophilia Mangalbazar,patan dhoka,27.6721887,85.3255086
Casa Mexicana Gairidhara,gariridhara,27.7190453,85.3291133
Casa Mexicana,jhamsikhel,27.7007204,85.3197298
Chaap Ghar Nepal,bhanimandal,27.670022,85.306746
Cloud Kitchen,chandol,27.7147368,85.3173235
Chatime Nepal,chaksibari marg| thamel,27.7150288,85.3104762
Chatime,jhamsikhel,27.6784141,85.3120635
Chef Kitchen Burger House,chabahil| chucchepati-7,27.7185998,85.349123
Chef Kitchen Shakes & Cold Drinks,chabahil,27.7043735,85.3312534
Chef'S Bakery,mid baneshwor,27.6819299,85.350232
Chef'S Burger,boudha,27.7206348,85.3635278
Chef'S Burger,chabahil,27.7222602,85.3464425
Chef'S Burger,mid baneshwor,27.6977787,85.3380363
Chef'S Burger,thamel,27.713119,85.3133839
Chef'S Burger,samakhusi,27.734897,85.3192934
Cherish Restaurant,bishalnagar,27.7187779,85.3334998
Chhabi Bakes,samakhushi,27.730351,85.3155639
Chhingu Restaurant And Mart,samakhusi,27.7333675,85.3176448
Chick N Falafel,mandala street| thamel| kathmandu,27.7147313,85.3109143
Chicken Hub,manamaiju,27.7437756,85.3118193
Chicken Station,jhamsikhel| lalitpur,27.6762733,85.311996
Chicken Station,jorpati,27.7177944,85.3823648
Chicken Station,kirtipur,27.6742522,85.2795021
Chicken Station,kumaripati,27.6713204,85.3192328
Chicken Station Machhapokhari,machha pokhari | balaju,27.7359812,85.3047184
Chicken Station,narsingh chowk | thamel,27.7144047,85.3115461
Chicken Station :,kuleshwor,27.6935497,85.2986504
Chicken Station,khumaltar,27.6524944,85.3212884
Chicken Station,maitidevi,27.7037467,85.3335077
China Town,lazimpat| kathmandu,27.7090718,85.3150682
Chinese Kitchen,chabahil| kl tower,27.7189397,85.3410465
Chow Bella By Hotel Akama,dhumbarahi,27.733765,85.3445453
Chulha Restaurant(Taste Of Hyderabad Dum Biryani),boudha,27.7202028,85.3612781
Cinnamon Garden Restaurant And Cafe,hattisar,27.7129779,85.3221512
City Chicken,gwarko,27.6658431,85.3312669
City Chicken Dhumbarahi,dhumbarahi. vibor hotel building,27.7001386,85.3142516
City Chicken Kalanki,kalanki near goat market,27.6917725,85.2841344
City Sip,thamel,27.7135019,85.3102233
Cms Cafe,bishalnagar,27.7214257,85.3377197
Coffee Escape,lazimpat,27.7184462,85.3175872
Comic Cafe,basantapur,27.7033581,85.307624
Cooker Cafe,aloknagar| baneshwor,27.6830777,85.3395496
Cooker Coffee,aloknagar| baneshwor,27.6830777,85.3395496
Copacabana Kathmandu,gairidhara,27.7172725,85.3260166
Coriander Hotel Mirage Regency,battisputali| kathmandu,27.7037858,85.341582
Cozy Meal,dillibazar,27.7034826,85.3048462
Crave Bakery,kumaripati,27.6726482,85.3175027
Crazy Dumplings,bakhundol| lalitpur,27.6859776,85.3130432
Crazy Mexican,jawalakhel,27.67383,85.3118648
Crazy Yeti,tushal| boudha,27.7198603,85.3571366
Crunch In,baluwatar,27.7218021,85.3312872
Cruncheese Bites,new baneswor,27.6885212,85.3326262
Curilo,lazimpat opposite to british embassy,27.7199252,85.3175346
Dalle Bhaisepati,bhaisepati inside awash,27.6543787,85.3040196
Dalle,new road,27.7048423,85.3092341
Dalle,sanepa,27.6883781,85.3091708
Dalle Momo,golfutar,27.7513015,85.3456829
Dalle,naxal bhatbhateni,27.7186354,85.3307668
Dalle,jawalakhel,27.6722476,85.3146694
Dalle,kamaladi,27.7101397,85.31997
Dancing Yak Restaurant & Bar,thamel,27.7172246,85.3117331
Darjeeling Ko Swad,kumaripati,27.6713481,85.3192563
Darjeeling Ko Swad,maitidevi,27.703628,85.3338322
Darjeeling Ko Swad Naxal,bishalnagar,27.7191362,85.3336842
Darjeeling Ko Swad,sankhamul,27.687488,85.3265442
Dechenling Garden Restaurant & Bar,keshar mahal| tridevi marg,27.7147224,85.3139532
Deoch An Doris,new plaza| putalisadak,27.7011449,85.3222765
Dhaulagiri Flavours,gongabu,27.7379199,85.3136825
Dhokaima Bistro,dhumbarahi,27.7338951,85.345804
Dhokaima Cafe,patan dhoka| lalitpur,27.6781168,85.3208863
Diamond Restaurant & Banquet,basundhara,27.709701,85.3214779
Dip In Donuts,pimbahal| patan dhoka,27.6762834,85.3207395
Diyalo Foodland,dhapasi| basundhara| kathmandu,27.7420957,85.3149599
Downtown Pizza,sitapaila,27.7082226,85.281937
Downtown Pizza,baneshwor,27.685194,85.3350002
Dragon Express Asian Eatery,hattigauda| budhanilkantha,27.7571907,85.3497509
Dragon Hotpot,bakhundol,27.6853136,85.3129738
Drinks Ra Mart,kuleshwor,27.6890086,85.2954571
Drinks Ra Mart,sankhamul| baneshwor,27.6919835,85.3216978
Drop In Restaurant,bhanimandal| lalitpur,27.6710915,85.3072779
Duetse Kitchen,boudha| fulbari,27.7253408,85.3650727
Dum Biryani And Kabab Paradise,thapagaun,27.6930549,85.3335903
Dumdaar Momo,jhamsikhel,27.6766491,85.3115097
Dumdaar Momo,khichapokhari,27.7021947,85.3106871
Dusit Princess Kathmandu,lazimpat,27.7194282,85.3207462
East West Fast Food & Cafe,gokarneswor,27.7357531,85.3835988
Easy Fruits,kupondole,27.6850152,85.3153362
Eatfit Lunch,new baneshwor,27.6918268,85.340651
Eden,sanepa,27.6818934,85.305756
Electric Pagoda Bar & Cafe,thamel,27.7155787,85.3095675
Elegance Cafe & Restaurant,thamel,27.7173302,85.3095653
Elements Restaurant & Bar,baluwatar,27.7268261,85.3309927
Embassy Restaurant & Bar,pani pokhari| kathmandu,27.7274745,85.324355
Emilio'S Pizza,bansbari,27.7442179,85.3408829
Erma Restaurant By Hotel Shambala,basbari road| maharajgunj,27.7265911,85.3373406
European Bakery,baluwatar| kathmandu,27.7281264,85.334117
Evara Restaurant & Terrace Bar,tangal,27.7102952,85.3075741
Everest Multii Cuisine Restaurant,bhatbhateni| kathmandu,27.7192377,85.3315897
Everfresh By Nomad Hotel,lazimpat,27.7201118,85.320618
Evoke Cafe & Bistro,jhamshikhel lalitpur,27.6762161,85.3107546
Express Masu Chiura,hattisar,27.7124386,85.326454
Express Masu Chiura Boudha,boudhadwar marg,27.6986172,85.3439752
Express Rolls,baneshwor,27.7039761,85.3241479
Express Rolls,kupondole,27.703262,85.3229294
Express Rolls,chandol,27.7142682,85.306815
Express Thakali (Curry By Kilo),tripureshwor,27.696563,85.3125622
Fairfield By Marriot Kathmandu,thamel,27.7154597,85.3143313
Famous Laphing House,gokarneshwor,27.737529,85.3848519
Famous Laphing House,koteshwor,27.6738721,85.3430785
Famous Laphing House,saraswatinagar,27.7102704,85.3492842
Famous Laphing House,sinamangal,27.6980076,85.349237
Famous Laphing House,bagbazar,27.6982026,85.3352414
Fast Food Newari Khaja Ghar,dillibazar,27.7056282,85.3249318
Filli Cafe,boudha,27.7213762,85.3613058
Filli Cafe,labim mall,27.6776307,85.3167249
Filli Cafe,lazimpat,27.7210812,85.3201443
Filli Cafe Thamel,satghumti,27.7149338,85.310438
Fire And Ice Pizzeria Sanepa,sanepa marg| international club surendra bhawan - 40,27.6828125,85.3073125
Fire Pizza,thamel | jp marg,27.713757,85.3113711
Fire Pizza,thamel,27.713757,85.3113711
Flat Iron Grill,thamel| kathmandu,27.7155088,85.3068455
Food Court,city center| kamalpokhari,27.7044769,85.318212
Food Hub By H2O,basantapur,27.7030373,85.307656
Food Hub By H2O,mid baneshwor,27.6989015,85.3383737
Food Lord,chyasa,27.6763446,85.3323938
Food Ventures Restro And Bar,kapan| budhanilkantha,27.734308,85.3615576
Foodhub By H2O,krishna galli| patan,27.6736358,85.3243956
Foodmandu Fresh,sankhamul bridge,27.6986845,85.3185548
Foreign Affairs,hotel ambassador| lazimpat,27.7189328,85.3177287
Fort 270°,thasikhel,27.6636367,85.3149674
Friendship Cafe,basundhara,27.7426884,85.331198
Fuchhey Restaurant,putalisadak,27.7040164,85.3224008
Fuchhey Restaurant,boudha,27.7205419,85.3611974
Fusion Flavours,lazimpat,27.7181977,85.3175011
Fusion Pizzeria,phulbari| boudha,27.7235506,85.3642263
Gangaur,kamaladi,27.7098747,85.3213748
Gangnam Galbi Restaurant,baluwatar| thirbam sadak,27.7218149,85.3310093
Gas O Fast,kamal pokhari,27.6710994,81.9860179
Gazebo Royal Hyderabadi Biryani,jhamsikhel,27.6996597,85.3218041
Gazebo Royal Hyderabadi Biryani,tinkune,27.6997601,85.3274751
Genesis Cafe,panipokhari| kathmandu,27.7287193,85.3256949
Ghangri,jhamsikhel| lalitpur,27.6760377,85.3142305
Ghangri,lazimpat,27.7230452,85.321405
Gimbap Go,pulchowk,27.6940957,85.3098749
Godzilla Sandwich,thamel,27.7133531,85.3102062
Burger House And Crunchy Fried Chicken,gongabu,27.724029,85.3154443
Gourmet Eatery,thamel,27.7147469,85.3126002
Grill Durbar,jawalakhel,27.6718868,85.312878
Grill Durbar| Grill & Garden Restaurant,sorakhutte,27.718506,85.3079681
Grills & More,sanepa,27.69523,85.3195872
H2O Cafe & Pub,basantapur,27.7091811,85.3088223
H2O Cafe Center,chabahil,27.717837,85.3474031
Haadi Bistro & Cafe,boudha,27.7205062,85.3606844
Haadi Bistro & Cafe,jhhochen| basantapur,27.7023979,85.3083635
Haadi Bistro & Cafe,gongabu,27.7181247,85.3114153
Hakkamandu,gongabu,27.6763358,85.3112867
Hakku Multicuisine Dining,chabahil,27.7232486,85.3383665
Hamro Vegan,kupondole,27.6852435,85.3193733
Hana Bites Restaurant,battisputali,27.7055229,85.3421697
Hankook Sarang Korean Restaurant Naxal,tangal,27.7151195,85.3209684
Hankook Sarang Korean Restaurant,thamel | near masala beads,,
Hanok Korean & Nepali House,shanta bhawan| jhamsikhel,27.6804347,85.3061475
Hello Momo,naxal bhatbhateni,27.7180661,85.3181811
Higher Ground Bakery,bhanimandal| ekantakuna 13,27.6702762,85.3087154
Himalayan Bio Kitchen,baluwatar,27.7213654,85.3315514
Himalayan Fusion Restro,samakhusi,27.7348067,85.3181542
Himeberry Strawberry,kalikasthan,27.7027375,85.3261406
Hipat Food Point,subidhanagar| tinkune,27.6818968,85.3417864
Hokkaido House,international club| sanepa| lalitpur,27.6830355,85.3066818
Hokkaido Umami,durbar marg,27.7109249,85.3177255
Holiday Inn Express,naxal,27.7169252,85.3305995
Hong Xiang Hotel & Restaurant,bizuli bazar,27.691335,85.329676
Hot Stick,bouddha,27.7169719,85.3356857
Hotel Himalaya,kupondole,27.6841382,85.3193951
Hotel Imperial Kathmandu,battisputali,27.7065429,85.3426082
Hotel Sunset View,shankhamul road| new baneshwer,27.6854019,85.3344031
Hotel,thamel,27.7155868,85.3119798
Hotel Tradition & Spa,saatghumti| thamel,27.7154748,85.3091604
House 5,jhamsikhel| thado dhunga,27.6780862,85.3080385
House Of Eggs,gahana pokhari,27.7170004,85.3327562
Hungry Heroes,buddha park| soyambhu,27.7166891,85.2841734
Hungry Nawab,battisputali,27.7086153,85.3181169
Hungry Nawab,jhamsikhel,,
Hungry Nawab,baluwatar,,
Hyatt Centric Soalteemode Kathmandu,tahachal| red cross road soalteemode,27.6991539,85.2891693
Hyderabad House,bishalnagar| kathmandu,27.7232703,85.3363707
Hyderabad House,dhobighat,27.67625,85.3084662
Ilive Burger And Barbeque,nakhipot| sumnima marga - 14,27.64401,85.3186387
Indian Tadka,kupondole,27.6888653,85.3128363
Indian Tadka,chandol,27.7336104,85.3413099
Indian Tadka,maitri tole| mid baneshwor,27.7112378,85.3292947
Italian Bakery,chabahil,27.725261,85.3497719
Italian Trattoria,durbarmarg,27.7120893,85.3143313
Izakaya Hokkaido,lazimpat,27.719893,85.3211573
Jade Restaurant And Bar,durbar marg,27.7112686,85.3177837
Janakpur Janki Litti Bhandar,basantapur| freak street,27.7024621,85.3084798
Jasper Restaurant,tridevi marg| thamel,27.7141728,85.3119355
Hankook Sarang Korean Restaurant,jawalakhel,27.6722179,85.3148327
Jazz Upstairs,lazimpat,27.720272,85.3189515
Jhakas Restaurant,hattisar,27.7104572,85.3212611
Jhamel Beats,jhamsikhel,27.6758311,85.3141691
Jholpattey Restaurant,new baneshwor,27.6919908,85.3360839
Juice Mandala,pulchowk,27.6758822,85.3149354
Juice Mandala,maharajgunj| narayan gopal sadak-3,,
Julie'S Cake And Pastries,bagdol| rastrapati marg,27.6865006,85.3168751
Karara Kitchen & Wraps,bhimsengola| old baneshwor,27.6994072,85.3440262
Kathmandu Grill Restaurant And Wine Bar,thamel,27.7162317,85.3098124
Kathmandu Height Boutique Hotel,chabahil,27.7160648,85.3432553
Kathmandu Marriott,naxal kathmandu,27.7128456,85.3245087
Katiya House,dilli bazar| kathmandu,27.7018979,85.325899
Kaveri Spicy Heaven Restaurant & Bar,basundhara,27.7407477,85.3349293
Kenny Rogers Roasters,durbar marg,27.71224,85.3174434
Kfc :,boudha| kathmandu,27.7200378,85.3583808
Kfc :,durbar marg| kathmandu,27.7106675,85.3172779
Kfc :,eyeplex mall,27.6923109,85.3363708
Kfc :,kalanki,27.6900603,85.28467
Kfc :,kathmandu mall| sundhara,27.7004409,85.3130884
Kfc : Labim,labim mall| lalitpur,27.6771764,85.3168714
Kfc :,maharajgunj| kathmandu,27.7394303,85.3396481
Kfc : |,naxal| bhatbhateni,27.7185412,85.3315782
Kfc :,samakhusi | north city mall,27.7353897,85.3179848
Khadadevi Foodland & Banquet,kalanki,27.696877,85.2824392
Khaja Express,kupondole,27.7047274,85.3151278
Khaja Express,chandol,27.7230326,85.3194789
Khaja Expressmid Baneswor,old baneswor,27.6983156,85.3362428
Kharayo Bakes,makhan tole,27.7053724,85.3080152
Khohang Thakali,amrit marga| thamel,27.7168996,85.3130622
Burger House And Crunchy Fried Chicken,khumaltar,27.6489841,85.3202406
Kikuchi Cloud Kitchen,budhanilkantha,27.7309529,85.3300629
Kimchee Restaurant & Bar,boudha| kathmandu,27.7202065,85.3603686
Kings Pizza & Burger Hub,putalisadak,27.7052697,85.3232434
Kiran Dai Ko Mo:Mo,chandol,27.7057415,85.3409829
Kiran Dai Ko Mo:Mo,jhamsikhel,27.7057415,85.3359083
Kiran Dai Ko Mo:Mo,talchikhel| lalitpur,27.6578615,85.3203732
Kiran Dai Ko Momo,boudha,27.7207858,85.3655057
Kkfc,kumaripati,27.6693444,85.3222281
Kkfc,maitidevi,27.7038012,85.3332768
Kkfc,old baneshwor,27.701059,85.3411586
Kkfc,people's plaza,27.7017639,85.3107408
Kod No. 1 Indian Food,chhaya center| thamel,27.714308,85.3137442
Koko Korean Fast Food,kapan,27.7269363,85.3566433
Koko Korean Fast Food Restaurant,golfutar| near basketball court,27.737618,85.3336433
Kora Restaurant,boudha | phulbari,27.7222576,85.3629096
Korean Bbq Restaurant,ekantakuna| kharibot,27.6696338,85.3094971
Kosheli Thakali,shreenagar| sankhamul,27.6829125,85.3387656
Koto Restaurant,boudha| fulbari,27.7222166,85.3627729
Koto Restaurant,durbarmarg,27.7115621,85.3174236
Koto Restaurant,pulchowk| lalitpur,27.6795379,85.3167537
Koyla Restaurant,new road kesha plaza 8th floor,27.7036486,85.3105846
Koyla Tandoori Restaurant,ratopul,27.7080547,85.3398171
Krishna Bakery & Confectionery,kamalpokhari,27.7103117,85.3225497
Krishna Bakery & Confectionery,samakhusi,27.7353295,85.3182554
Krishna Pauroti Bhandar,kamal pokhari,27.710183,85.3225518
Kruathai,naxal| kathmandu,27.7163384,85.3310505
Krystal Food Cafe,shankhamul,27.6826179,85.332907
Ktm Hankook Sarang Korean Restaurant Jp Road,j.p road| thamel,27.7138695,85.3112041
Ktm Hunger Station,sukedhara,27.7325766,85.3464181
Ktm Hunger Station,hattigauda| budhanilkantha,27.757247,85.3495145
Kungfu Noodles,jp marg| thamel,27.7122735,85.3102415
La Pizza Pizza,baluwatar,27.7254048,85.3307772
Laddu Gopal,sorakhutte,27.7040669,85.2964449
Laddu Gopal,kuleshwor,27.6897425,85.2992936
Lals Kitchen,chakupat| lalitpur,27.6925576,85.3154529
Lama Burger,thamel,27.7153523,85.3104495
Lavie Garden,kathmandu| boudha,27.7263941,85.3643663
Lazeez Biryani House And Restaurant,soalteemode,27.697327,85.2926458
Lazeezo Cafe,nakhu,27.6611891,85.3053301
Le Mirch By Exotic,durbar marg,27.7111284,85.3177106
Le Trio,durbar marg| kathmandu,27.6953444,85.3167754
Le Trio,jhamsikhel| lalitpur,27.6772353,85.3136207
Lemon Pepper,krishna galli patan,27.6795885,85.3190926
Level 3,labim mall| pulchowk,27.6772649,85.3169214
Lhakpa'S Chulo,jhamsikhel,27.6754021,85.312615
Lisara Restaurant,naxal| bhagwati mandir,27.7121657,85.3284477
Little Tibet Restaurant,thamel,27.7135087,85.3112361
London Cafe,lainchaur,27.7196274,85.3172942
Lotus Club Restaurant,gongabu,27.7412726,85.3127922
Lotus Time,gongabu,27.7352528,85.3111421
Love Of Burrito,kamaladi,27.708073,85.3186863
Lucknow Biryani Wale,khusibu,27.7150432,85.3038553
Lucknow Zaika & Nawabi Kitchen,soaltee mod| tahachal marg,27.6967689,85.2932405
Lumbini Tandoori,machha pokhari,27.716028,85.3186939
Lunar Restaurant,tokha,27.7248856,85.3366724
M Bistro By Kbc,nag pokhari| naxal,27.7128315,85.3243971
Mad Over Pizza,kupondole| gunsingal marg paschim,27.7067422,85.3255402
Mad Over Pizza,chandol,27.7112323,85.3270927
Mad Over Pizza,maitri tole| mid baneshwor,27.7112323,85.3270927
Madka Biryani,gongabu,27.735132,85.312455
Majestic Lounge Bar & Cafe,gongabu,27.7321122,85.3096141
Mak Mak Restaurant,lazimpat,27.7207093,85.3185965
Mama'S Boi Restaurant & Coffee Shop,new baneshwor,27.6904544,85.3390808
Mama'S Curries,jhamshikel| lalitpur,27.6770696,85.3137334
Mama'S Pizza,jawalakhel,27.6717016,85.3123678
Mamma Mia Stop Restaurant,boudha,27.7184552,85.3601525
Manny'S Eatry And Tapas Bar,jawalakhel| lalitpur,27.6711925,85.3114943
Marco'S Pizza,boudha,27.7215785,85.3629045
Mario'S Pizza,balkumari,27.7011953,85.340823
Masa Wild Himalayan Brew,pani pokhari| lazimpat,27.7173951,85.3238092
Masala Beads Cafe,thamel,27.7129596,85.3128904
Masala Darbar Family & Restaurant,pingalasthan,27.7047993,85.3478919
Matka Biryani,tinkune,27.6831636,85.346484
Matka Biryani House,hadigaun,27.6781596,85.4139559
Matka Biryani,jhamsikhel,27.6765401,85.3110158
Mechung Restaurant,boudha,27.7204527,85.3625226
Meet And Spice,thamel,27.7113108,85.3107217
Mehmaan Pahuna Delicacy Of Indian Cuisine,jhamsikhel,27.6790885,85.3077087
Melung Thakali Kitchen,chabahil,27.7177288,85.3471745
Mesohot,sanepa,27.6825327,85.3060609
Michael Grills,mid baneshwor,27.6987887,85.338612
Mila Restaurant,chhetrapati,27.7134528,85.3159403
Mini Hankook Sarang,pulchowk,27.6796634,85.3189681
Miraz Bakery,jorpati,27.7197741,85.3614965
Mirch By Shafqat Halal Food Restaurant,pulchowk,27.6759552,85.3140615
Momo City By Alobar1000,thamel,27.7185287,85.3310643
Momo Gallery,golfutar,27.7521593,85.346542
Momo King,uttardhoka| lazimpat,27.7069524,85.3343329
Momo King Mangalbazar,mangal bazar,27.7077735,85.323357
